    1/resolution    CC
    0.234286336     0.841610893
    0.234417376     0.841299001
    0.234564016     0.840896500
    0.234696553     0.840704663
    0.234844642     0.839927751
    0.234991049     0.838937330
    0.235181203     0.839142921
    0.235368461     0.838452994
    0.235528379     0.839308455
    0.235657680     0.839061228
    0.235856947     0.839609156
    0.236002818     0.838929147
    0.236163579     0.838277681
    0.236280789     0.837898556
    0.236423091     0.837607232
    0.236576459     0.836248236
    0.236721256     0.835850868
    0.236862132     0.836272700
    0.236996893     0.836166165
    0.237138698     0.836032110
    0.237275049     0.835591975
    0.237447094     0.834716236
    0.237611267     0.834608464
    0.237789780     0.834190862
    0.237942940     0.833635150
    0.238087056     0.833453166
    0.238241489     0.833220259
    0.238384007     0.832507753
    0.238551110     0.832076750
    0.238750964     0.831834988
    0.238897422     0.831291428
    0.239052677     0.830834764
    0.239233973     0.830713206
    0.239421645     0.830137562
    0.239567258     0.829631086
    0.239696032     0.829164411
    0.239849431     0.830031699
    0.240009430     0.829263860
    0.240152032     0.830296735
    0.240277787     0.829920565
    0.240416860     0.828926947
    0.240572491     0.828086245
    0.240701387     0.827333722
    0.240840002     0.826879439
    0.240964175     0.825859550
    0.241135617     0.825381748
    0.241312535     0.825613826
    0.241507853     0.824907141
    0.241669411     0.824501374
    0.241824285     0.823319229
    0.241940407     0.823235092
    0.242091955     0.823338917
    0.242247449     0.823267925
    0.242408065     0.822996619
    0.242564947     0.823100222
    0.242738852     0.823450707
    0.242893560     0.823697994
    0.243025690     0.822473051
    0.243179794     0.821931294
    0.243313240     0.822309983
    0.243448434     0.822777502
    0.243571239     0.822169368
    0.243689399     0.822109435
    0.243809297     0.822589625
    0.243932467     0.822265737
    0.244090307     0.821840156
    0.244271081     0.821166073
    0.244406678     0.820553036
    0.244515512     0.819965426
    0.244624358     0.819909396
    0.244797490     0.819819397
    0.244965231     0.818453241
    0.245168201     0.818759028
    0.245304226     0.818258898
    0.245446553     0.817701636
    0.245583970     0.817541333
    0.245691273     0.817300226
    0.245813377     0.816476860
    0.245977527     0.816768444
    0.246111065     0.815932648
